Yr,Month,No_of_deaths,Seasonal_ind
1991,1,2529,-
1991,2,2379,-
1991,3,2528,-
1991,4,2337,-
1991,5,2371,-
1991,6,2178,-
1991,7,2313,-
1991,8,2386,-
1991,9,2156,-
1991,10,2271,-
1991,11,2459,-
1991,12,2522,-
1991,1–12,28429,-
1996,1,2928,-
1996,2,2915,-
1996,3,3242,-
1996,4,2926,-
1996,5,2720,-
1996,6,2424,-
1996,7,2661,-
1996,8,2428,-
1996,9,2262,-
1996,10,2372,-
1996,11,2408,-
1996,12,2890,-
1996,1–12,32176,-
2001,1,2984,-
2001,2,2830,-
2001,3,2870,-
2001,4,2763,-
2001,5,2773,-
2001,6,2598,-
2001,7,2695,-
2001,8,2732,-
2001,9,2581,-
2001,10,2740,-
2001,11,2721,-
2001,12,3091,-
2001,1–12,33378,-
2006,1,3558,-
2006,2,3075,-
2006,3,3286,-
2006,4,3023,-
2006,5,3067,-
2006,6,3003,-
2006,7,3127,-
2006,8,2975,-
2006,9,2909,-
2006,10,2925,-
2006,11,3006,-
2006,12,3503,-
2006,1–12,37457,-
2011,1,4522,-
2011,2,3970,-
2011,3,3866,-
2011,4,3658,-
2011,5,3327,-
2011,6,3165,-
2011,7,3120,-
2011,8,3245,-
2011,9,3150,-
2011,10,3348,-
2011,11,3203,-
2011,12,3772,-
2011,1–12,42346,-
2016,1,4316,-
2016,2,4699,-
2016,3,4589,-
2016,4,4067,-
2016,5,3996,-
2016,6,3471,-
2016,7,3606,-
2016,8,3535,-
2016,9,3375,-
2016,10,3602,-
2016,11,3643,-
2016,12,4006,-
2016,1–12,46905,-
2021,1,5278,-
2021,2,4124,-
2021,3,4318,-
2021,4,4096,-
2021,5,4173,-
2021,6,4022,-
2021,7,4141,-
2021,8,4063,-
2021,9,3877,-
2021,10,4256,-
2021,11,4252,-
2021,12,4754,-
2021,1–12,51354,-
1991–2001,1,-,114
1991–2001,2,-,110
1991–2001,3,-,116
1991–2001,4,-,102
1991–2001,5,-,98
1991–2001,6,-,92
1991–2001,7,-,97
1991–2001,8,-,94
1991–2001,9,-,88
1991–2001,10,-,90
1991–2001,11,-,93
1991–2001,12,-,106
1991–2001,Average,-,100
2001–2011,1,-,120
2001–2011,2,-,106
2001–2011,3,-,108
2001–2011,4,-,101
2001–2011,5,-,99
2001–2011,6,-,92
2001–2011,7,-,95
2001–2011,8,-,92
2001–2011,9,-,90
2001–2011,10,-,94
2001–2011,11,-,93
2001–2011,12,-,109
2001–2011,Average,-,100
2011–2021,1,-,119
2011–2021,2,-,109
2011–2021,3,-,109
2011–2021,4,-,100
2011–2021,5,-,98
2011–2021,6,-,93
2011–2021,7,-,94
2011–2021,8,-,94
2011–2021,9,-,89
2011–2021,10,-,95
2011–2021,11,-,93
2011–2021,12,-,108
2011–2021,Average,-,100
