Value descriptions,,
Variable,Value_eng,Value_chi
Yr,1991,1991
Yr,1992,1992
Yr,1993,1993
Yr,1994,1994
Yr,1995,1995
Yr,1996,1996
Yr,1997,1997
Yr,1998,1998
Yr,1999,1999
Yr,2000,2000
Yr,2001,2001
Yr,2002,2002
Yr,2003,2003
Yr,2004,2004
Yr,2005,2005
Yr,2006,2006
Yr,2007,2007
Yr,2008,2008
Yr,2009,2009
Yr,2010,2010
Yr,2011,2011
Yr,2012,2012
Yr,2013,2013
Yr,2014,2014
Yr,2015,2015
Yr,2016,2016
Yr,2017,2017
Yr,2018,2018
Yr,2019,2019
Yr,2020,2020
Yr,2021,2021
Pre_marital_s1,Previous marital status of bridegrooms,新郎結婚前的婚姻狀況
Pre_marital_s1,Previous marital status of brides,新娘結婚前的婚姻狀況
Pre_marital_s2,Never married,從未結婚
Pre_marital_s2,Widowed / Divorced,喪偶／離婚
Pre_marital_s2,Others,其他
Pre_marital_s2,Total,總計
Age_gp,16 – 19,16 – 19
Age_gp,20 – 24,20 – 24
Age_gp,25 – 29,25 – 29
Age_gp,30 – 34,30 – 34
Age_gp,35 – 39,35 – 39
Age_gp,40 – 44,40 – 44
Age_gp,45 – 49,45 – 49
Age_gp,50+,50+
